id,name,type,cuisine,phone,website,capacity,stars,meta_name_com,meta_code_com,meta_name_dep,meta_code_dep,meta_geo_point
24,Café de la Mairie,bar,,,,,,Dinan,22050,Côtes-d'Armor,22,"48.4544401781624, -2.04724317880158"
25,Crêperie d'Armor,restaurant,"crepe,pizza",,,,,Dinan,22050,Côtes-d'Armor,22,"48.4541241804127, -2.04482013823215"
32,La Planque,cafe,,,,,,Rennes,35238,Ille-et-Vilaine,35,"48.1097025589196, -1.71308528156337"
47,L'annexe,fast_food,french,,,,,Rennes,35238,Ille-et-Vilaine,35,"48.09633929069, -1.63598484813599"
83,Auberge La Maison Neuve,restaurant,"regional,french",+33 2 99 95 05 64,https://www.ferme-auberge-35.fr/,100.0,,Chauvigné,35075,Ille-et-Vilaine,35,"48.3770462943049, -1.46435523855544"
89,La Chaloupe,restaurant,"savory_pancakes,crepe,burger,coffee_shop,ice_cream",+33 297318827,http://lachaloupe.com,,,Le Palais,56152,Morbihan,56,"47.3459577909843, -3.15467120637942"
92,Tara Cantine de mer,restaurant,seafood,,http://www.cantinedemer.com/,,,Plobannalec-Lesconil,29165,Finistère,29,"47.7960986808244, -4.21491381295618"
174,La Pause de la Mie,fast_food,sandwich,,,,,Vern-sur-Seiche,35352,Ille-et-Vilaine,35,"48.0444018335037, -1.60337497002041"
183,Pub Le Médiéval,pub,,+33 972942166,,,,Quimperlé,29233,Finistère,29,"47.8730903171486, -3.54515658259106"
209,L'Islandais,restaurant,regional,+33 2 96 20 93 80,www.l-islandais.com,,,Paimpol,22162,Côtes-d'Armor,22,"48.7802513762204, -3.0448040694281"
213,Hostellerie de la mer,restaurant,french,,https://www.hostelleriedelamer.com/,,,Crozon,29042,Finistère,29,"48.2856117168034, -4.50785663500474"
215,Au Trousse Chemise,bar,,+33 2 99 66 27 59,https://duckduckgo.com/l/?kh=-1&uddg=https%3A%2F%2Fwww.facebook.com%2Fpages%2FAu-Trousse-Chemise%2F1374230109553741,,,Langan,35144,Ille-et-Vilaine,35,"48.2450219315905, -1.8537406576136"
304,McDonald's,fast_food,burger,+33 2 98 96 13 20,https://www.restaurants.mcdonalds.fr/mcdonalds-mellac,,,Mellac,29147,Finistère,29,"47.8687474854763, -3.58933692366639"
308,Bar Hôtel Restaurant-Les Voyageurs,restaurant,,,,,,Plounéventer,29204,Finistère,29,"48.513396221971, -4.21300801963162"
335,Le Duguesclin,bar,,,,,,Broons,22020,Côtes-d'Armor,22,"48.317341998, -2.26291005037029"
346,Le Chateaubriand,cafe,,,https://www.hotel-chateaubriand-st-malo.com/restaurants-p0-C29.html,,,Saint-Malo,35288,Ille-et-Vilaine,35,"48.65125128799, -2.02382422515379"
347,Le Borsalino,restaurant,pizza,,,,,Saint-Malo,35288,Ille-et-Vilaine,35,"48.6485342940764, -2.02565307260724"
373,Au Biniou,restaurant,regional,+33 2 96 72 24 35,https://aubiniou.bzh,,,Pléneuf-Val-André,22186,Côtes-d'Armor,22,"48.5893922558363, -2.55240145614906"
375,La Crique,restaurant,seafood,,https://lacrique.fr/,,,Rennes,35238,Ille-et-Vilaine,35,"48.1086632867451, -1.67696464330356"
377,Domino's Pizza,fast_food,pizza,+33 2 99 79 76 79,https://www.dominos.fr/magasin/rennes-centre_35000,,,Rennes,35238,Ille-et-Vilaine,35,"48.1158357651097, -1.68094210781649"
392,Le Cinquante,restaurant,,,,,,Groix,56069,Morbihan,56,"47.6389558497748, -3.45435995174009"
400,La Marmite,restaurant,,+33296721555,,,,Erquy,22054,Côtes-d'Armor,22,"48.632300475467, -2.46387246538268"
403,Le KatSandra,restaurant,regional,+33298581460,,,,Guilvinec,29072,Finistère,29,"47.7942449391186, -4.2840630053951"
405,La Crêpe Enchan'thé,restaurant,"regional,crepe,pizza",+33 2 99 60 15 87,,,,Pacé,35210,Ille-et-Vilaine,35,"48.1479954512058, -1.77356071296029"
407,Le Doris,restaurant,regional,+33 2 98 58 60 92,https://www.ledoris.com/,,,Penmarch,29158,Finistère,29,"47.7972397931224, -4.35576012876072"
420,Le Tournesol,cafe,,,,,,Rennes,35238,Ille-et-Vilaine,35,"48.108509897917, -1.69576441393144"
486,Buvette,cafe,,,,,,Cléden-Cap-Sizun,29028,Finistère,29,"48.0604296249331, -4.67122906413098"
489,Factory Café,cafe,,,,,,Lorient,56121,Morbihan,56,"47.7475368675032, -3.36417260143079"
490,Bossa,cafe,,,,,,Lorient,56121,Morbihan,56,"47.7484524227869, -3.36368645104673"
573,La Decouverte,bar,,,,,,Corseul,22048,Côtes-d'Armor,22,"48.4813656171838, -2.16928611975985"
682,L'Auberge du Pélican,restaurant,,,,,,Dinan,22050,Côtes-d'Armor,22,"48.4538717174892, -2.04272424334363"
691,Le Campanella,pub,,,,,,Brest,29019,Finistère,29,"48.3965160304535, -4.4816177576723"
692,L'Iroise,bar,,,,,,Brest,29019,Finistère,29,"48.3800731671789, -4.53397011906569"
693,Bar Tabac Le Kerhorre,pub,,,,,,Le Relecq-Kerhuon,29235,Finistère,29,"48.4080008303628, -4.39753855166265"
694,Le Tavaillon,bar,,,,,,Brest,29019,Finistère,29,"48.4048338958867, -4.46033551878153"
695,Le Reinitas,bar,,,,,,Brest,29019,Finistère,29,"48.416284246174, -4.47565923034432"
699,Restaurant. Alimentation Le Victorine,restaurant,,+33 2 96 41 55 55,,,,Fréhel,22179,Côtes-d'Armor,22,"48.6280564664331, -2.3653579457276"
718,Café du Port,cafe,"seafood,local",,,,,Plounéour-Brignogan-plages,29021,Finistère,29,"48.6693281194692, -4.33013723749249"
721,Restaurant Le Cap Horn,restaurant,french,,https://www.restaurant-caphorn.fr/,,,Saint-Malo,35288,Ille-et-Vilaine,35,"48.6580425573983, -1.99917816088143"
722,Ty Room,cafe,,,https://www.atelier-tyroom.com/,,,Landéda,29101,Finistère,29,"48.5969340408547, -4.56179292464083"
731,Le Café Pêcheur,restaurant,french,,,,,Damgan,56052,Morbihan,56,"47.5132794376098, -2.62290725961662"
755,Kairos,restaurant,greek,+33229617793,,,,Brest,29019,Finistère,29,"48.3954786861167, -4.48116806856706"
756,Shalimar,restaurant,indian,,http://www.shalimar-brest.fr/,,,Brest,29019,Finistère,29,"48.3865228740329, -4.49175005368554"
757,Tacos time,fast_food,french_tacos,,,,,Brest,29019,Finistère,29,"48.4034471938257, -4.46725243291837"
758,Le Portugalia,restaurant,,,,,,Brest,29019,Finistère,29,"48.3974727408817, -4.46740406154677"
759,Pizza Pat,restaurant,,,,,,Sulniac,56247,Morbihan,56,"47.6758010197449, -2.57188267550495"
810,Le fournil de carnac,restaurant,,,,,,Carnac,56034,Morbihan,56,"47.5833332888582, -3.0794305496282"
812,Le Cosy,restaurant,,,,,,Carnac,56034,Morbihan,56,"47.5835870928863, -3.07944521795875"
814,Restaurant Régal,fast_food,"arab,burger",,,,,Inzinzac-Lochrist,56090,Morbihan,56,"47.8267267417537, -3.24974093146827"
835,Casa Vecchia,restaurant,pizza,+33 298881890,http://www.pizzamorlaix.fr,,,Morlaix,29151,Finistère,29,"48.5779254770188, -3.8273029266189"
873,Andro Kafé,bar,,,,,,Guénin,56074,Morbihan,56,"47.9060266703928, -2.9794625241438"
891,La Carotte mécanique,bar,,,,,,Rennes,35238,Ille-et-Vilaine,35,"48.1168702595993, -1.68075737067053"
893,La Buvette des Bains,fast_food,,,,,,Saint-Malo,35288,Ille-et-Vilaine,35,"48.6516496798479, -2.02352490739148"
909,Chez Paulette,restaurant,,,,,,Plouha,22222,Côtes-d'Armor,22,"48.6773103734994, -2.88464132248407"
933,Cafétéria Aux Délices des Estuaires,restaurant,,,,,,Bain-de-Bretagne,35012,Ille-et-Vilaine,35,"47.8600745626246, -1.68919903681368"
957,Bar du Bouffay,restaurant,regional,,,,,Malestroit,56124,Morbihan,56,"47.8098524619228, -2.38324308308117"
974,Le temps devant soi,restaurant,,,,,,Dinan,22050,Côtes-d'Armor,22,"48.4537714699272, -2.04309933351064"
975,Crêperie Le Be New,restaurant,regional,,,,,Dinan,22050,Côtes-d'Armor,22,"48.4537504313502, -2.04320444257644"
1041,Le Bateau Ivre,pub,,,,,,Rennes,35238,Ille-et-Vilaine,35,"48.114040445269, -1.67842703395024"
1076,Bar-tabac de l'Hôtel de Ville,bar,,,,,,Cancale,35049,Ille-et-Vilaine,35,"48.6753599884499, -1.85194005717386"
